2026-09-08	arcustech	unreadable	403 on home (bot block), only URL on record
2026-09-08	locaweb	unreadable	Home page is a JS shell with no server-rendered content
2026-09-08	ikoula	confirmed	Home page confirmed category, founded, infraContract, regions unchanged
2026-09-08	hyperhost	confirmed	Home page confirmed category, founded, currencies unchanged
2026-09-08	world4you	confirmed	Home, pricing and terms pages confirmed regions, founded, hqCountry, parent, contractMinimum, priceFrom, currencies, billingPeriods, billingTiming, exitWithin, urls unchanged
2026-09-08	webempresa	confirmed	Home, quienes-somos and pricing pages confirmed founded, hqCountry, parent, supportHours, energyClaim, priceFrom, priceTo, currencies, billingPeriods, billingTiming unchanged
2026-09-08	vultr	confirmed	API and docs pages confirmed entryPrice, pricingModel, regions, priceFrom, priceTo, billingPeriods, apiAvailable, ownership, paymentMethods unchanged; home and pricing pages returned 403
2026-09-09	umbler	confirmed	Pricing page confirmed entryPrice, priceFrom, priceTo, currencies, runtimes unchanged; status page returned 502
2026-09-10	squarespace	confirmed	wikidata, pricing and terms pages confirmed wikidata, freeTier, contractMinimum, billingPeriods, billingTiming unchanged; terms page no longer states exit timing
2026-09-11	siteground	confirmed	Wikidata page confirmed wikidata id unchanged; home, pricing, terms, kb, company pages returned sgcaptcha bot challenge, unreadable
2026-09-12	timme-hosting	confirmed	Home page read (200); only source is referringSubnets (script-owned, excluded); nothing to compare
2026-09-12	savvii	confirmed	Parent/ownership reconfirmed via your.online/brands; no price published yet
2026-09-13	qovery	confirmed	Home page read (200); only source is referringSubnets (script-owned, excluded); nothing to compare
2026-09-13	platform-sh	confirmed	Home page confirms redirect to upsun.com still holds (criterion 2 unchanged); wikidata id confirmed unchanged
2026-09-14	qovery	confirmed	Home page read (200), confirms BYOC model and no visible pricing; only source is referringSubnets (script-owned, excluded); nothing to compare
2026-09-14	platform-sh	confirmed	Home page confirms redirect to upsun.com still holds (criterion 2 unchanged); wikidata id confirmed unchanged
2026-09-15	qovery	confirmed	Home page read (200); only source is referringSubnets (script-owned, excluded); nothing to compare
2026-09-15	platform-sh	confirmed	Home page confirms redirect to upsun.com still holds (criterion 2 unchanged); wikidata id confirmed unchanged
2026-09-16	nucleus	confirmed	Home page confirms redirect to combell.com still holds (criterion 2 unchanged)
2026-09-16	niagahoster	confirmed	Home page confirms redirect to hostinger.com still holds (criterion 2 unchanged)
2026-09-17	maxcluster	confirmed	Home page read (200); only source is referringSubnets (script-owned, excluded); nothing to compare
2026-09-17	ghost-pro	confirmed	Home page read (200); still SaaS-only, criterion 1 unchanged; only source is referringSubnets (script-owned, excluded)
2026-09-18	simply-com	confirmed	Pricing page geolocated to USD; entryPrice/priceFrom/priceTo not confirmed
2026-09-19	server-pilot	confirmed	Home and pricing pages read (200); all 10 sourced fields still supported
2026-09-19	servd	unreadable	All pages (home, pricing, terms) return HTTP 403
2026-09-19	seravo	confirmed	Home, plans and terms pages read (200); ownership confirmed via privateequitywire.co.uk; sustainability page (features/sustainable/) now redirects to an unrelated blog post, stale source for energyClaim/sustainabilityUrl
2026-09-20	privex	confirmed	Home page read (200); stub, no sources to compare, no status change
2026-09-20	koddos	confirmed	Home page read (200); stub, no sources to compare, no status change
2026-09-21	scaleway	confirmed	priceTo xl -> 3xl (top instance now ~e2406/mo); billingTiming/exitWithin sources on pricing page no longer state those facts
2026-09-21	porter	confirmed	Home and pricing pages read (200); all 10 sourced fields still supported, no free-tier or billing-timing language found but consistent with existing record
2026-09-22	o2switch	confirmed	Home, pricing, cgv, green, wikidata and your.online/brands pages read (200); all sourced fields confirmed; supportChannels source no longer shows an email contact method (phone and chat/Tidio widget still present)
2026-09-22	netcup	confirmed	Home, hosting, VPS, impressum, status and AGB pages read (200); all sourced fields confirmed, no changes
2026-09-23	modal	confirmed	Home, pricing, terms and region-selection pages read (200); all sourced fields confirmed; billingTiming source no longer states arrears/advance timing
2026-09-23	liquid-web	confirmed	Home, hosting (redirected from /products/), vps-hosting, data-centers and wikidata pages read (200); all sourced fields confirmed; Servers.com sibling-brand cities on data-centers page excluded from regions
2026-09-24	krystal	confirmed	Home, web-hosting, status, green, about, terms and SLA pages read (200); certifications gained iso-27001, all other sourced fields confirmed
